seed,precision,recall,f1,n_pred_pos
0,1.0,0.04878048780487805,0.09302325581395349,2
1,0.0,0.0,0.0,0
2,0.0,0.0,0.0,1
3,1.0,0.024390243902439025,0.047619047619047616,1
4,0.0,0.0,0.0,0
5,0.5,0.024390243902439025,0.046511627906976744,2
6,1.0,0.024390243902439025,0.047619047619047616,1
7,0.0,0.0,0.0,1
8,1.0,0.024390243902439025,0.047619047619047616,1
9,0.0,0.0,0.0,0
10,0.0,0.0,0.0,1
11,0.5,0.024390243902439025,0.046511627906976744,2
12,1.0,0.04878048780487805,0.09302325581395349,2
13,1.0,0.024390243902439025,0.047619047619047616,1
14,0.0,0.0,0.0,0
15,1.0,0.04878048780487805,0.09302325581395349,2
16,0.0,0.0,0.0,0
17,1.0,0.07317073170731707,0.13636363636363635,3
18,1.0,0.04878048780487805,0.09302325581395349,2
19,0.6666666666666666,0.04878048780487805,0.09090909090909091,3
20,0.0,0.0,0.0,1
21,0.0,0.0,0.0,0
22,0.5,0.024390243902439025,0.046511627906976744,2
23,0.6666666666666666,0.04878048780487805,0.09090909090909091,3
24,0.0,0.0,0.0,0
25,0.0,0.0,0.0,0
26,1.0,0.024390243902439025,0.047619047619047616,1
27,1.0,0.024390243902439025,0.047619047619047616,1
28,0.0,0.0,0.0,1
29,0.75,0.07317073170731707,0.13333333333333333,4
