seed,precision,recall,f1,n_pred_pos
0,0.0,0.0,0.0,2
1,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0
3,0.0,0.0,0.0,2
4,0.0,0.0,0.0,2
5,0.0,0.0,0.0,7
6,0.0,0.0,0.0,1
7,0.0,0.0,0.0,1
8,1.0,0.05,0.09523809523809523,1
9,0.5,0.05,0.09090909090909091,2
10,0.0,0.0,0.0,3
11,0.0,0.0,0.0,0
12,0.25,0.05,0.08333333333333333,4
13,0.2,0.05,0.08,5
14,0.0,0.0,0.0,1
15,0.0,0.0,0.0,4
16,0.0,0.0,0.0,1
17,1.0,0.1,0.18181818181818182,2
18,0.0,0.0,0.0,0
19,0.0,0.0,0.0,3
20,0.0,0.0,0.0,0
21,0.5,0.05,0.09090909090909091,2
22,0.75,0.15,0.25,4
23,0.5,0.05,0.09090909090909091,2
24,1.0,0.05,0.09523809523809523,1
25,0.0,0.0,0.0,1
26,0.0,0.0,0.0,1
27,0.0,0.0,0.0,0
28,0.3333333333333333,0.1,0.15384615384615385,6
29,0.0,0.0,0.0,0
