seed,precision,recall,f1,n_pred_pos
0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,1
2,0.0,0.0,0.0,2
3,0.0,0.0,0.0,0
4,0.0,0.0,0.0,0
5,0.5,0.034482758620689655,0.06451612903225806,2
6,0.5,0.034482758620689655,0.06451612903225806,2
7,0.0,0.0,0.0,1
8,1.0,0.034482758620689655,0.06666666666666667,1
9,0.0,0.0,0.0,0
10,1.0,0.034482758620689655,0.06666666666666667,1
11,0.0,0.0,0.0,1
12,0.0,0.0,0.0,0
13,0.0,0.0,0.0,0
14,0.0,0.0,0.0,0
15,0.0,0.0,0.0,1
16,0.0,0.0,0.0,0
17,0.0,0.0,0.0,0
18,0.0,0.0,0.0,0
19,1.0,0.034482758620689655,0.06666666666666667,1
20,1.0,0.034482758620689655,0.06666666666666667,1
21,0.0,0.0,0.0,0
22,0.0,0.0,0.0,0
23,0.0,0.0,0.0,0
24,0.0,0.0,0.0,2
25,0.0,0.0,0.0,0
26,0.0,0.0,0.0,1
27,0.0,0.0,0.0,1
28,0.0,0.0,0.0,1
29,0.0,0.0,0.0,1
