project,metric,baseline_mean,baseline_std,proposed_mean,proposed_std,p_value,a12,effect
tensorflow,precision,0.670582901195896,0.07038484188795527,0.6138671563928901,0.05629129726928692,0.0001528710126876831,0.2722222222222222,worse
tensorflow,recall,0.31706349206349216,0.04989438328606839,0.646031746031746,0.05188558453549573,1.726772765612998e-06,1.0,large
tensorflow,f1,0.42834566789862016,0.05344955348922051,0.6281970549551407,0.04658380251494508,1.862645149230957e-09,1.0,large
pytorch,precision,0.16666666666666666,0.34960294939005054,0.5859356446911826,0.08637078874048697,1.9474520588385815e-05,0.8577777777777778,large
pytorch,recall,0.00689655172413792,0.013793103448275841,0.5471264367816092,0.07849825783431667,1.6530995771390012e-06,1.0,large
pytorch,f1,0.01318996415770608,0.02638382392928448,0.561655643979589,0.06542743054867195,1.7311263949197286e-06,1.0,large
keras,precision,0.48611111111111105,0.45137820500176706,0.4560698666993793,0.06048515597916455,0.36002612742115936,0.4583333333333333,worse
keras,recall,0.021951219512195103,0.023009710078186817,0.47886178861788614,0.06679048584891342,1.678421145178411e-06,1.0,large
keras,f1,0.041628578140206034,0.04305900232553936,0.4648001342646585,0.05563135728171754,1.862645149230957e-09,1.0,large
mxnet,precision,0.2011111111111111,0.3323021085669254,0.5655932555481058,0.11526222206410834,4.844621612163035e-05,0.8361111111111111,large
mxnet,recall,0.023333333333333334,0.038151743807531995,0.4766666666666666,0.08239471396205517,1.607505526400268e-06,1.0,large
mxnet,f1,0.040406704406704394,0.0649419894741858,0.5121205329254643,0.08325896755221232,1.7256857880058036e-06,1.0,large
caffe,precision,0.17777777777777776,0.3725123247608936,0.2672279944570966,0.10819730107689035,0.08037056093877087,0.8088888888888889,large
caffe,recall,0.02,0.04,0.27999999999999997,0.12220201853215575,3.23505945948643e-06,0.98,large
caffe,f1,0.03543123543123542,0.07101566069680043,0.2639097081525937,0.09883021745709823,2.869925421157438e-06,0.9477777777777778,large
