seed,precision,recall,f1
0,0.375,0.3,0.3333333333333333
1,0.26666666666666666,0.4,0.32
2,0.16666666666666666,0.1,0.125
3,0.2857142857142857,0.4,0.3333333333333333
4,0.14285714285714285,0.1,0.11764705882352941
5,0.3,0.3,0.3
6,0.3,0.3,0.3
7,0.07692307692307693,0.1,0.08695652173913043
8,0.23529411764705882,0.4,0.2962962962962963
9,0.42857142857142855,0.3,0.35294117647058826
10,0.13333333333333333,0.2,0.16
11,0.16666666666666666,0.1,0.125
12,0.3333333333333333,0.4,0.36363636363636365
13,0.2727272727272727,0.3,0.2857142857142857
14,0.25,0.3,0.2727272727272727
15,0.5,0.2,0.2857142857142857
16,0.11764705882352941,0.2,0.14814814814814814
17,0.2222222222222222,0.2,0.21052631578947367
18,0.125,0.1,0.1111111111111111
19,0.3333333333333333,0.3,0.3157894736842105
20,0.2631578947368421,0.5,0.3448275862068966
21,0.35714285714285715,0.5,0.4166666666666667
22,0.4,0.4,0.4
23,0.2727272727272727,0.3,0.2857142857142857
24,0.17647058823529413,0.3,0.2222222222222222
25,0.23076923076923078,0.3,0.2608695652173913
26,0.2,0.1,0.13333333333333333
27,0.38461538461538464,0.5,0.43478260869565216
28,0.5,0.3,0.375
29,0.2,0.2,0.2
