seed,precision,recall,f1
0,0.5,0.5,0.5
1,0.7,0.35,0.4666666666666667
2,0.6,0.45,0.5142857142857142
3,0.6875,0.55,0.6111111111111112
4,0.6,0.45,0.5142857142857142
5,0.4,0.4,0.4
6,0.5555555555555556,0.5,0.5263157894736842
7,0.5263157894736842,0.5,0.5128205128205128
8,0.6842105263157895,0.65,0.6666666666666666
9,0.6153846153846154,0.4,0.48484848484848486
10,0.5882352941176471,0.5,0.5405405405405406
11,0.6875,0.55,0.6111111111111112
12,0.36363636363636365,0.4,0.38095238095238093
13,0.5,0.4,0.4444444444444444
14,0.5714285714285714,0.6,0.5853658536585366
15,0.4090909090909091,0.45,0.42857142857142855
16,0.45,0.45,0.45
17,0.7142857142857143,0.5,0.5882352941176471
18,0.4166666666666667,0.25,0.3125
19,0.6875,0.55,0.6111111111111112
20,0.4666666666666667,0.35,0.4
21,0.7142857142857143,0.5,0.5882352941176471
22,0.45454545454545453,0.5,0.47619047619047616
23,0.625,0.5,0.5555555555555556
24,0.5625,0.45,0.5
25,0.5,0.45,0.47368421052631576
26,0.8461538461538461,0.55,0.6666666666666666
27,0.5714285714285714,0.6,0.5853658536585366
28,0.4074074074074074,0.55,0.46808510638297873
29,0.5625,0.45,0.5
